"Index","year","month","qtr","days","washingtondc_supt","washingtondc_demt","washingtondc_rmrevt","washingtondc_demd","washingtondc_supd","washingtondc_occ","washingtondc_adr","washingtondc_revpar","washingtondc_demd_sa","washingtondc_demd_sf","washingtondc_demd_fct","washingtondc_occ_sa","washingtondc_occ_sf","washingtondc_occ_fct","washingtondc_adr_sa","washingtondc_adr_sf","washingtondc_adr_fct","washingtondc_revpar_sa","washingtondc_revpar_sf","washingtondc_revpar_fct","washingtondc_supd_sa","washingtondc_supd_sf","washingtondc_supd_fct","washingtondc_demar_sa"
2007-12-01,2007,12,4,31,2.911644,1.378355,186.646083,0.04446306452,0.093924,0.473394069,135.4122001,64.10333234,0.0628454746894569,0.707498268406893,NA,0.667750432610713,0.708938618203758,NA,151.288413419385,0.89505995230861,NA,100.832000781017,0.635743928945901,NA,0.0939941880130111,0.999253272840643,NA,22.9385982616518
2008-01-01,2008,1,1,31,2.902778,1.479561,213.302403,0.04772777419,0.093638,0.509705186,144.166008,73.48216192,0.0638142081964265,0.747917674432145,NA,0.680803332398759,0.748681978691397,NA,152.137250834194,0.947604923905973,NA,104.20650196204,0.705159088314546,NA,0.0936410995077778,0.999966900134726,NA,23.2921859916957
2008-02-01,2008,2,1,28,2.626036,1.573206,236.857729,0.05618592857,0.093787,0.599080134,150.5573517,90.19591849,0.0637620374853611,0.881181511536539,NA,0.677077210229471,0.884803276419485,NA,152.321763711116,0.98841654686679,NA,101.831660372125,0.885735518407492,NA,0.0940040858615594,0.997690676319334,NA,23.2731436821568
2008-03-01,2008,3,1,31,2.913628,2.086474,331.914784,0.0673056129,0.093988,0.716108577,159.0792811,113.9180376,0.0639070478487288,1.0531798160872,NA,0.676331908620431,1.05881234919214,NA,151.530344778658,1.04981798419563,NA,104.138941473883,1.09390431655741,NA,0.0941176760493539,0.998622192400013,NA,23.326072464786
2008-04-01,2008,4,2,30,2.8974,2.305655,389.248505,0.07685516667,0.09658,0.795766894,168.8233951,134.3440688,0.0657331422988729,1.16919964544762,NA,0.682652153964211,1.16569894254185,NA,153.597880914444,1.09912580886475,NA,105.788505624116,1.26993067921147,NA,0.0965876975536359,0.999920305030238,NA,23.9925969390886
2008-05-01,2008,5,2,31,3.007682,2.291154,372.972381,0.07390819355,0.097022,0.761767368,162.7880016,124.0065875,0.0649444515058178,1.13802167600691,NA,0.671796745291556,1.13392536260264,NA,151.605096135302,1.07376338757582,NA,102.946797987793,1.20456964105581,NA,0.0968969909930042,1.00129012269333,NA,23.7047247996235
2008-06-01,2008,6,2,30,2.91798,2.25077,348.667471,0.07502566667,0.097266,0.771345246,154.9103067,119.4893286,0.0642157067339991,1.16833825376678,NA,0.662320579174398,1.16461011518245,NA,150.425837199315,1.02981183009633,NA,99.9291811473361,1.19574009541642,NA,0.0971147022653882,1.00155792821357,NA,23.4387329579097
2008-07-01,2008,7,3,31,3.014626,2.272968,318.881092,0.07332154839,0.097246,0.753980096,140.2928207,105.7779944,0.0659307165507137,1.11209997746045,NA,0.675217289273706,1.11664808940395,NA,153.781849254876,0.912284651145539,NA,105.93633917524,0.998505283678174,NA,0.0971378954470404,1.00111289782903,NA,24.0647115410105
2008-08-01,2008,8,3,31,3.018315,1.987147,253.165853,0.06410151613,0.097365,0.658363027,127.4016734,83.87655132,0.0638943485909664,1.00324234527156,NA,0.657992144264773,1.0005636583027,NA,145.94864914802,0.872921223620166,NA,96.4128555345786,0.869972690414895,NA,0.0972871231231425,1.0008004849394,NA,23.3214372357027
2008-09-01,2008,9,3,30,2.9229,1.982402,318.048612,0.06608006667,0.09743,0.678231209,160.4359822,108.8126901,0.0646674410536907,1.02184446443669,NA,0.664235748435585,1.02107002009057,NA,153.155418898941,1.04753709240849,NA,102.243299687145,1.06425252738279,NA,0.0974584743648268,0.999707830796528,NA,23.6036159845971
2008-10-01,2008,10,4,31,3.02033,2.216453,381.083333,0.07149848387,0.09743,0.733844646,171.933866,126.172747,0.0640358587478115,1.11653822199181,NA,0.657944542554711,1.1153594239882,NA,156.962536078759,1.09538154960576,NA,103.777027006608,1.21580614360793,NA,0.0974431551352287,0.999864996825992,NA,23.3730884429512
2008-11-01,2008,11,4,30,2.91561,1.684768,254.190069,0.05615893333,0.097187,0.577844088,150.8754137,87.18246576,0.0632126367816376,0.888413079871925,NA,0.650701508599423,0.888032500867807,NA,151.42705116314,0.996357074519362,NA,99.2153524309475,0.8787195088651,NA,0.0972218434506559,0.999641608825556,NA,23.0726124252977
2008-12-01,2008,12,4,31,3.034342,1.403268,190.763487,0.04526670968,0.097882,0.462462043,135.9423054,62.86815626,0.0640463244413078,0.70678075712967,NA,0.653481451465266,0.70768962449209,NA,152.892440503354,0.889136866103055,NA,99.9011631950326,0.62930354611853,NA,0.0978867982924218,0.999950981209872,NA,23.3769084210773
2009-01-01,2009,1,1,31,3.047827,1.584414,288.471726,0.05111012903,0.098317,0.519850372,182.0684026,94.64832682,0.0687047731361487,0.743909435938573,NA,0.697509753318637,0.745294771186549,NA,193.451407785037,0.941158323346576,NA,135.981141999923,0.696040093706917,NA,0.0983335344806065,0.99983185308355,NA,25.0772421946943
2009-02-01,2009,2,1,28,2.754444,1.578905,234.19793,0.05638946429,0.098373,0.573220948,148.3293358,85.02548246,0.0646112827047532,0.872749494042341,NA,0.653877189993912,0.876649249693718,NA,151.36690854625,0.979932385648728,NA,97.817856041526,0.869222511111925,NA,0.0986162975467601,0.997532887029705,NA,23.5831181872349
2009-03-01,2009,3,1,31,3.072224,2.065268,324.414291,0.06662154839,0.099104,0.672238743,157.0809653,105.5959106,0.0619850833151898,1.07479969093909,NA,0.622740279396281,1.07948492371765,NA,144.754102761553,1.08515725843538,NA,91.6128207063874,1.15263245674344,NA,0.0992170301813138,0.998860778425768,NA,22.6245554100443
2009-04-01,2009,4,2,30,2.99079,2.247384,338.357162,0.0749128,0.099693,0.751434905,150.5560073,113.1330391,0.0655183964765484,1.14338573635291,NA,0.658418508637398,1.14127245079289,NA,140.294713851779,1.07314098419319,NA,93.2674540738484,1.21299589683688,NA,0.0996979115352212,0.999950735826403,NA,23.9142147139402
2009-05-01,2009,5,2,31,3.099225,2.198149,322.813128,0.07090803226,0.099975,0.709257637,146.8568,104.1593069,0.0623669941854186,1.13694804737885,NA,0.625781467761423,1.13339508045387,NA,136.651264288321,1.07468306835527,NA,86.5496683550215,1.20346280788443,NA,0.0998570145227314,1.00118154420931,NA,22.7639528776778
2009-06-01,2009,6,2,30,3.00051,2.292478,340.812616,0.07641593333,0.100017,0.764029448,148.6655994,113.5848959,0.0652190477508435,1.17168121837553,NA,0.653772051665796,1.1686480724486,NA,143.390973092607,1.03678492581249,NA,94.3114896853457,1.20435904765111,NA,0.099870428323778,1.00146761837996,NA,23.8049524290579
