"Index","gdp","canada_gdp","mexico_gdp"
1998-07-01,2892.025,299308.5,2389.973
1998-08-01,2908.52365842456,300580.168764424,2388.47452805968
1998-09-01,2925.21146867005,301959.637006216,2387.36472352378
1998-10-01,2939.475,303434,2391.523
1998-11-01,2950.75668238408,305099.788672121,2404.04357596585
1998-12-01,2959.21915345846,306699.763171285,2418.58990425384
1999-01-01,2966.95,308146.5,2428.266
1999-02-01,2974.9524556694,309262.029640829,2427.28127268754
1999-03-01,2982.69768581287,310133.109032488,2421.97790907323
1999-04-01,2991.925,311182.8,2419.12
1999-05-01,3001.80992125607,312460.018244204,2425.06754366465
1999-06-01,3014.29118141478,313990.874519605,2437.25098149287
1999-07-01,3030.025,315559,2449.807
1999-08-01,3050.31252546221,317167.438628623,2459.74193744835
1999-09-01,3069.89531820757,318745.308326791,2468.53940210955
1999-10-01,3082.45,320245,2479.164
1999-11-01,3085.49804776747,321767.723574623,2494.61645480401
1999-12-01,3085.36060333646,323213.968046719,2512.33798655686
2000-01-01,3091.3,324678.2,2530.924
2000-02-01,3109.49570492844,326114.600998879,2547.56050604132
2000-03-01,3131.28657509557,327452.822162786,2560.77194222155
2000-04-01,3149.675,328903.2,2572.141
2000-05-01,3155.71937178126,330316.376922416,2580.22503896182
2000-06-01,3154.5411975628,331626.027249966,2585.44462605361
2000-07-01,3153.7,332557,2587.375
2000-08-01,3158.67652250376,333045.39795365,2586.23757424781
2000-09-01,3166.1725540609,333214.859364546,2582.74351865909
2000-10-01,3170.5,333296.2,2578.073
2000-11-01,3168.35425451064,333480.879389182,2572.78139177483
2000-12-01,3163.55218752322,333777.262444928,2567.59358564618
2001-01-01,3161.425,334186.2,2562.451
2001-02-01,3166.01103616779,334660.089825684,2557.92933024752
2001-03-01,3172.85346891478,335044.386445392,2555.06735504712
2001-04-01,3178.2,335292,2554.116
2001-05-01,3177.44782717309,335280.31943585,2555.83856960999
2001-06-01,3172.86730866726,335163.968131069,2558.96539889219
2001-07-01,3168.525,335157,2561.515
2001-08-01,3167.36891732534,335442.728141593,2562.05981243654
2001-09-01,3170.10377629612,336086.026265922,2559.89531745712
2001-10-01,3176.3,337077,2554.901
2001-11-01,3185.85304508955,338453.087446597,2547.09794138491
2001-12-01,3196.31948747416,339883.71834129,2539.88002560613
2002-01-01,3206.15,341157.2,2536.434
